,country,continent_name,monthly_internet_cost_2018,internet_percent_of_population,population_2018,population_2024,gni_2018,gni_2024,annual_internet_cost_2018,annual_cost_percent_GNI_2018,annual_internet_cost_2024,annual_cost_percent_GNI_2024,sat_annual_cost_per_gni_2018,sat_annual_cost_per_gni_2024
88,Georgia,Europe,13.86,0.639686,3770000.0,3720000.0,4640.0,5190.0,166.32,0.0358448275862069,224.06450096132474,0.04317235085960014,0.15517241379310345,0.15953757225433526
89,Germany,Europe,28.74,0.897391,82900000.0,83300000.0,49400.0,52200.0,344.88,0.0069813765182186235,464.6185972314918,0.008900739410564977,0.014574898785425101,0.015862068965517243
90,Greece,Europe,40.56,0.729521,10600000.0,10300000.0,19800.0,20600.0,486.72,0.024581818181818184,655.7039075751322,0.03183028677549186,0.03636363636363636,0.040194174757281556
91,Hungary,Europe,16.91,0.760744,9780000.0,9990000.0,15600.0,18800.0,202.92000000000002,0.013007692307692309,273.37162418874476,0.014541043839826849,0.046153846153846156,0.044042553191489364
92,Iceland,Europe,64.71,0.99011,353000.0,378000.0,70600.0,66200.0,776.52,0.01099886685552408,1046.1193259168344,0.015802406735903843,0.010198300283286119,0.012507552870090635
93,Ireland,Europe,57.32,0.845223,4830000.0,5090000.0,61700.0,73600.0,687.84,0.011148136142625609,926.6505912772827,0.012590361294528297,0.011669367909238249,0.01125
94,Italy,Europe,33.28,0.743872,59900000.0,58700000.0,35200.0,35800.0,399.36,0.011345454545454546,538.0134626257496,0.015028309011892447,0.020454545454545454,0.02312849162011173
95,Kazakhstan,Europe,11.1,0.789039,18500000.0,19800000.0,8400.0,9630.0,133.2,0.015857142857142854,179.44559600798738,0.018634018277049573,0.08571428571428572,0.08598130841121496
96,Latvia,Europe,16.55,0.835772,1940000.0,1810000.0,17200.0,21100.0,198.60000000000002,0.011546511627906979,267.55176702091813,0.012680178531797068,0.04186046511627907,0.03924170616113744
97,Lithuania,Europe,11.14,0.797226,2880000.0,2690000.0,18200.0,22100.0,133.68,0.007345054945054945,180.09224680441258,0.00814897044363858,0.03956043956043956,0.03746606334841629
98,Luxembourg,Europe,48.16,0.970613,608000.0,662000.0,82700.0,85600.0,577.92,0.006988149939540507,778.5675588959165,0.009095415407662576,0.008706166868198308,0.009672897196261682
99,Malta,Europe,40.33,0.814031,492000.0,537000.0,28200.0,29600.0,483.96,0.017161702127659575,651.9856654956876,0.02202654275323269,0.02553191489361702,0.027972972972972972
100,Moldova,Europe,11.57,0.761245,3140000.0,3330000.0,4080.0,5780.0,138.84,0.034029411764705884,187.04374286598326,0.03236050914636389,0.17647058823529413,0.14325259515570934
101,Montenegro,Europe,30.04,0.715173,631000.0,626000.0,8780.0,9730.0,360.48,0.04105694760820046,485.63474811531006,0.049911073804245636,0.08200455580865604,0.08509763617677286
102,Norway,Europe,70.97,0.964917,5310000.0,5510000.0,83600.0,86700.0,851.64,0.010187081339712918,1147.3201755573755,0.013233220017962809,0.00861244019138756,0.009550173010380622
103,Poland,Europe,15.78,0.775417,38500000.0,40200000.0,14700.0,17700.0,189.35999999999999,0.012881632653061224,255.10373918973335,0.014412640632188325,0.04897959183673469,0.04677966101694915
104,Portugal,Europe,49.42,0.74661,10300000.0,10200000.0,22900.0,25100.0,593.04,0.025896943231441046,798.9370589833095,0.03183016171248245,0.0314410480349345,0.03298804780876494
105,Romania,Europe,8.15,0.706813,19600000.0,19600000.0,11900.0,15000.0,97.80000000000001,0.008218487394957985,131.75509977163043,0.008783673318108694,0.06050420168067227,0.0552
106,Russia,Europe,7.35,0.808647,146000000.0,144000000.0,10700.0,12000.0,88.19999999999999,0.008242990654205607,118.82208384312678,0.009901840320260565,0.06728971962616823,0.069
107,Serbia,Europe,17.02,0.733607,7430000.0,7100000.0,6680.0,8940.0,204.24,0.0305748502994012,275.14991387891394,0.03077739528846912,0.10778443113772455,0.09261744966442953
